id,fecha_siniestro,tipo_automovil,marca,modelo,lng,lat,day,month
33230,16-05-2011 00:00,Automovil,Kia motors,Rio 1.3 ls dh,159.2110388,-8.04046685,Monday,May
33231,17-05-2011 00:00,Camioneta,Kia motors,Frontier 2.7 cargo van,-56.1703602,-34.7133484,Tuesday,May
33232,11-05-2011 00:00,Camioneta,Chevrolet,Luv d-max cc 3.0d hr dab,13.3265459,46.1740899,Wednesday,May
33233,17-05-2011 00:00,Camioneta,Subaru,Baja pick up 2.5 at,-70.58956951,-33.39024002,Tuesday,May
33234,16-05-2011 00:00,Station wagon,Suzuki,Grand nomade 2.0 glx spac,-70.755136,-33.512095699999996,Monday,May
33235,17-05-2011 00:00,Camioneta,Hyundai,Accent gt (16v),-4.6377716,36.595288399999994,Tuesday,May
33236,17-05-2011 00:00,Camioneta,Hyundai,Porter hr gls std tci ps,-106.8697647,28.3937566,Tuesday,May
33237,17-05-2011 00:00,Automovil,Suzuki,Swift 1 3 ga,40.3212472,43.7456464,Tuesday,May
33238,17-05-2011 00:00,Automovil,Suzuki,Swift 1 3 ga,-70.64234391,-33.3805491,Tuesday,May
33239,12-04-2011 00:00,Todo terreno,Kia motors,Frontier 2.7 plus c/s,-1.3728847,42.654825,Tuesday,April
33240,18-05-2011 00:00,Automovil,Toyota,Yaris xli,-5.8001495,38.9242775,Wednesday,May
33241,17-05-2011 00:00,Furgon,Peugeot,Otra,121.112131,14.314352900000001,Tuesday,May
33242,18-05-2011 00:00,Automovil,Kia motors,Frontier 2.7 plus c/s,-70.7262769,-33.3756391,Wednesday,May
33244,13-05-2011 00:00,Automovil,Toyota,Yaris sport xli,-73.0384299,-36.7830171,Friday,May
33245,17-05-2011 00:00,Todo terreno,Mitsubishi,Montero sport at,-68.90619,-22.4402014,Tuesday,May
33246,18-05-2011 00:00,Todo terreno,Suzuki,Grand nomade 2.0 glx spac,-70.58382649,-33.4879991,Wednesday,May
33247,18-05-2011 00:00,Automovil,Suzuki,Swift 1 5 gl at,-56.5309077,-33.3772128,Wednesday,May
33248,19-05-2011 00:00,Todo terreno,Toyota,Rav4 std,-70.5727862,-33.4399576,Thursday,May
33249,06-03-2011 00:00,Automovil,Peugeot,Otra,-70.9648915,-34.2260739,Sunday,March
33250,19-05-2011 00:00,Automovil,Hyundai,Accent gt (16v),-68.6356672,-32.6790097,Thursday,May
33251,19-05-2011 00:00,Automovil,Toyota,Yaris gl,-70.6311763,-33.4335209,Thursday,May
33252,19-05-2011 00:00,Automovil,Kia motors,Morning ex 1.1 aut dh 4x2,-73.7681843,-42.4346494,Thursday,May
33253,18-05-2011 00:00,Todo terreno,Suzuki,Grand nomade 2.0 glx spac,-56.20273938,-34.87217645,Wednesday,May
33254,19-05-2011 00:00,Todo terreno,Kia motors,Frontier 2.7 plus c/s,-70.5973946,-33.4382988,Thursday,May
33255,19-05-2011 00:00,Automovil,Kia motors,Morning ex 1.1 aut dh 4x2,-2.2509509,43.1056377,Thursday,May
33256,21-05-2011 00:00,Station wagon,Hyundai,Santa fe 2.0 gl 2wd crdi,-73.6524431,5.9639337999999995,Saturday,May
33258,22-05-2011 00:00,Todo terreno,Hyundai,Tucson 2.0 gl at abs 2ab,-3.3418749,39.614292799999994,Sunday,May
33259,22-05-2011 00:00,Automovil,Suzuki,Swift 1 3 ga,-6.0083802,39.95254570000001,Sunday,May
33260,22-05-2011 00:00,Station wagon,Mitsubishi,New outlander k2 gl 4x4,-2.522357135,42.8996097,Sunday,May
33261,21-05-2011 00:00,Automovil,Kia motors,Frontier 2.7 plus c/s,-65.821552,18.289120399999998,Saturday,May
33262,20-05-2011 00:00,Station wagon,Toyota,Rav4 std,-79.8963424,9.356084800000001,Friday,May
33263,22-05-2011 00:00,Automovil,Suzuki,Swift gl,-70.6553604,-33.5407629,Sunday,May
33264,20-05-2011 00:00,Automovil,Porsche,Cayman,-70.5772913,-33.3998092,Friday,May
33265,18-05-2011 00:00,Automovil,Volvo,C30,-70.2144494,-33.2368381,Wednesday,May
33266,23-05-2011 00:00,Automovil,Toyota,Yaris gl,-73.6524431,5.9639337999999995,Monday,May
33267,24-05-2011 00:00,Automovil,Suzuki,Swift 1 3 ga,-58.41938871,-34.57201115,Tuesday,May
33268,24-05-2011 00:00,Camioneta,Ford,Ranger xlt,-5.6170915,38.863387700000004,Tuesday,May
33269,20-05-2011 00:00,Camioneta,Nissan,Terrano,-59.6641666,-62.4791666,Friday,May
33270,24-05-2011 00:00,Automovil,Toyota,Corolla xli,-75.74048283,4.797208900000001,Tuesday,May
33271,24-05-2011 00:00,Automovil,Fiat,Uno cs,-70.6134508,-33.558798200000005,Tuesday,May
33272,24-05-2011 00:00,Todo terreno,Hyundai,Tucson 2.0 gl at abs 2ab,29.8271171,40.3674032,Tuesday,May
33273,24-05-2011 00:00,Todo terreno,Toyota,Rav4 std,-70.6138025,-33.454742100000004,Tuesday,May
33274,24-05-2011 00:00,Todo terreno,Suzuki,Grand nomade 2.0 glx spac,-70.5339161,-33.3913041,Tuesday,May
33275,24-05-2011 00:00,Station wagon,B.m.w.,X6 xdrive30d,-6.0856822,41.5407681,Tuesday,May
33276,24-05-2011 00:00,Camioneta,Nissan,Terrano,-70.5399117,-33.4381395,Tuesday,May
33277,25-05-2011 00:00,Camioneta,Nissan,Terrano,-78.6252379,-1.2438898999999999,Wednesday,May
33278,25-05-2011 00:00,Automovil,Toyota,Yaris gl,-70.6097289,-33.4306885,Wednesday,May
33279,20-05-2011 00:00,Camioneta,Citroen,Berlingo ii hdi pta lat,-1.1910359,42.8028724,Friday,May
33280,25-05-2011 00:00,Todo terreno,Kia motors,Frontier 2.7 plus c/s,0.4047122,43.082803399999996,Wednesday,May
33281,25-05-2011 00:00,Station wagon,Subaru,Outback 2.5 at awd 3s (n),0.5026083,42.536589500000005,Wednesday,May
33282,25-05-2011 00:00,Camioneta,Chevrolet,Luv 2.3 dlxs,-71.0354821,-34.5345379,Wednesday,May
33283,25-05-2011 00:00,Automovil,Toyota,Yaris gl,159.2110388,-8.04046685,Wednesday,May
33284,25-05-2011 00:00,Automovil,Hyundai,Getz fl 1.4 gl 2ab,-71.25145385,-29.912619199999998,Wednesday,May
